"lat","long","Jan","Feb","state"
49,-119,1.3,2.25,"washington"
39,-77,1.96,2.76,"maryland"
45,-107,1.6,2.51,"wyoming"
47,-68,1.49,2.42,"maine"
48,-102,1.32,2.21,"north dakota"
32,-105,3.26,4.07,"new mexico"
33,-105,3.19,4.01,"new mexico"
36,-93,2.3,3.02,"arkansas"
42,-104,1.92,2.79,"nebraska"
37,-120,2.5,3.49,"california"
40,-78,1.84,2.65,"pennsylvania"
45,-110,1.64,2.56,"montana"
48,-107,1.27,2.18,"montana"
32,-98,2.83,3.52,"texas"
33,-116,3.04,3.84,"california"
36,-86,2.08,2.78,"tennessee"
37,-96,2.31,3,"oklahoma"
42,-105,1.93,2.76,"wyoming"
40,-83,1.78,2.56,"ohio"
43,-79,1.38,2.23,"new york"
32,-87,2.61,3.3,"alabama"
33,-91,2.48,3.11,"mississippi"
36,-115,2.82,3.67,"nevada"
37,-87,1.99,2.79,"kentucky"
39,-106,2.47,3.39,"colorado"
33,-86,2.49,3.15,"alabama"
38,-119,2.52,3.44,"california"
36,-108,2.91,3.82,"new mexico"
37,-90,2.12,2.88,"missouri"
42,-123,1.85,2.76,"california"
46,-120,1.33,2.32,"washington"
39,-113,2.39,3.27,"utah"
43,-93,1.72,2.5,"iowa"
33,-93,2.48,3.16,"louisiana"
46,-96,1.58,2.53,"minnesota"
37,-113,2.65,3.39,"arizona"
39,-112,2.44,3.24,"utah"
40,-106,2.31,3.23,"colorado"
43,-100,1.76,2.57,"south dakota"
46,-89,1.45,2.39,"wisconsin"
37,-108,2.71,3.48,"colorado"
39,-87,1.84,2.61,"indiana"
40,-111,2.36,3.2,"utah"
43,-91,1.81,2.72,"wisconsin"
44,-91,1.73,2.64,"wisconsin"
46,-114,1.6,2.56,"montana"
39,-94,2.1,2.74,"missouri"
40,-88,1.85,2.6,"illinois"
43,-114,1.95,2.88,"idaho"
44,-100,1.67,2.46,"south dakota"
46,-107,1.47,2.42,"montana"
30,-102,3.21,3.98,"texas"
36,-80,2.35,3.05,"north carolina"
39,-118,2.42,3.39,"nevada"
34,-106,3.14,4.05,"new mexico"
40,-93,2.02,2.68,"missouri"
43,-122,1.79,2.75,"oregon"
47,-117,1.32,2.25,"idaho"
38,-83,1.87,2.58,"kentucky"
43,-105,1.86,2.69,"wyoming"
44,-105,1.73,2.61,"wyoming"
46,-68,1.55,2.46,"maine"
30,-95,2.65,3.22,"texas"
37,-77,2.22,2.97,"virginia"
34,-115,3.05,3.93,"california"
35,-103,2.91,3.77,"texas"
35,-118,2.9,3.77,"california"
44,-114,1.95,2.95,"idaho"
41,-82,1.6,2.34,"ohio"
31,-98,2.87,3.51,"texas"
34,-92,2.4,3.11,"arkansas"
35,-110,2.97,3.87,"arizona"
44,-111,1.86,2.78,"wyoming"
31,-89,2.69,3.41,"mississippi"
45,-69,1.61,2.55,"maine"
34,-93,2.42,3.13,"arkansas"
35,-85,2.24,2.86,"tennessee"
47,-98,1.42,2.34,"north dakota"
44,-120,1.66,2.6,"oregon"
28,-99,2.94,3.61,"texas"
41,-100,2.05,2.8,"nebraska"
31,-88,2.72,3.41,"alabama"
