"lat","long","Jan","Feb","state"
44,-86,1.6,2.51,"michigan"
29,-81,3.22,3.92,"florida"
33,-80,2.6,3.23,"south carolina"
46,-113,1.6,2.56,"montana"
36,-82,2.19,2.81,"north carolina"
34,-104,3.04,3.93,"new mexico"
39,-95,2.14,2.77,"kansas"
40,-87,1.85,2.6,"indiana"
43,-115,1.9,2.81,"idaho"
44,-99,1.7,2.46,"south dakota"
46,-106,1.5,2.43,"montana"
30,-101,3.16,3.9,"texas"
36,-79,2.38,3.1,"north carolina"
39,-119,2.32,3.35,"nevada"
34,-105,3.06,3.99,"new mexico"
40,-96,2.09,2.72,"kansas"
43,-123,1.58,2.45,"oregon"
47,-118,1.32,2.25,"washington"
38,-82,1.87,2.56,"west virginia"
43,-106,1.89,2.78,"wyoming"
44,-108,1.78,2.74,"wyoming"
30,-94,2.63,3.21,"texas"
37,-78,2.27,3.01,"virginia"
34,-114,3.1,3.98,"arizona"
35,-104,2.96,3.87,"new mexico"
35,-119,2.65,3.67,"california"
44,-113,1.91,2.82,"idaho"
41,-79,1.71,2.54,"pennsylvania"
31,-99,2.98,3.63,"texas"
34,-91,2.39,3.06,"arkansas"
35,-111,2.97,3.89,"arizona"
44,-122,1.54,2.46,"oregon"
41,-74,1.87,2.79,"new jersey"
42,-80,1.54,2.31,"pennsylvania"
31,-90,2.66,3.38,"louisiana"
45,-70,1.61,2.55,"maine"
34,-100,2.84,3.51,"texas"
35,-86,2.22,2.85,"tennessee"
47,-99,1.42,2.31,"north dakota"
44,-119,1.71,2.64,"oregon"
41,-97,1.96,2.66,"nebraska"
35,-93,2.37,3.11,"arkansas"
38,-102,2.42,3.16,"kansas"
48,-121,1.25,2.16,"washington"
41,-92,1.87,2.63,"iowa"
42,-74,1.75,2.66,"new york"
45,-88,1.48,2.33,"wisconsin"
34,-78,2.49,3.21,"north carolina"
35,-100,2.76,3.45,"oklahoma"
47,-113,1.46,2.37,"montana"
48,-97,1.36,2.29,"minnesota"
38,-111,2.64,3.57,"utah"
29,-98,2.84,3.41,"texas"
41,-115,2.1,3,"nevada"
42,-99,1.88,2.66,"nebraska"
45,-95,1.64,2.54,"minnesota"
47,-112,1.39,2.31,"montana"
48,-90,1.3,2.21,"minnesota"
32,-109,3.43,4.26,"new mexico"
38,-88,1.94,2.72,"indiana"
41,-123,1.96,2.84,"california"
41,-110,2.29,3.26,"utah"
42,-92,1.81,2.59,"iowa"
45,-119,1.42,2.4,"oregon"
45,-98,1.6,2.42,"south dakota"
35,-82,2.41,3.11,"south carolina"
47,-103,1.42,2.32,"north dakota"
48,-111,1.3,2.22,"montana"
32,-102,3.09,3.85,"texas"
38,-97,2.26,2.99,"kansas"
41,-118,2.05,2.96,"nevada"
36,-98,2.51,3.21,"oklahoma"
41,-101,2.07,2.89,"nebraska"
42,-109,2.09,2.89,"wyoming"
45,-122,1.29,2.22,"oregon"
39,-79,1.89,2.63,"west virginia"
